Date,High,Low,Open,Close
2003-12-01,111.37063920497894,110.48206180334093,111.31434708833694,110.67637711763382
2003-12-02,112.00853198766708,110.50053179264069,110.63931584358215,111.82301610708237
2003-12-03,112.20281422138214,111.712284386158,111.83247715234756,112.13752418756485
2003-12-04,112.33225852251051,111.40685141086578,112.11034297943115,111.7487171292305
2003-12-05,112.76637494564056,111.60983383655548,111.72172337770462,112.72925853729248
2003-12-08,113.22048306465149,112.42510467767715,112.55369991064072,113.03508847951888
2003-12-09,113.5624149441719,112.83102542161942,113.0447480082512,113.3120170235634
2003-12-10,113.46073627471924,112.49894052743912,113.30369174480438,112.76637494564056
2003-12-11,113.1733763217926,112.13752418756485,112.76637494564056,113.07239234447479
2003-12-12,113.83074253797531,112.97020643949509,113.10003668069841,113.58054310083388
2003-12-15,114.00611370801926,112.64689892530441,112.72925853729248,113.95976781845093
2003-12-16,114.3203130364418,113.82093966007231,113.90503048896791,113.97801727056505
2003-12-17,114.8854285478592,113.77473711967468,113.95976781845093,114.71872448921205
2003-12-18,115.08839994668959,114.38534945249556,114.71872448921205,114.9125435948372
2003-12-19,115.023992061615,114.2468962073326,114.90397572517395,114.56100732088088
2003-12-22,115.1256376504898,114.30195331573486,114.30195331573486,114.69027519226074
2003-12-23,117.21620887517929,114.58940148353577,114.69027519226074,114.7002324461937
2003-12-24,115.36542773246764,114.7002324461937,114.70876723527908,115.19015580415726
2003-12-25,115.34815967082977,115.09842336177826,115.22745966911316,115.14427304267885
2003-12-26,115.35679370164871,114.94967103004456,115.16290843486786,114.995399415493
2003-12-29,115.69875866174698,114.9768191576004,115.0139907002449,115.47632485628128
2003-12-30,116.2074938416481,115.46767979860306,115.49507051706314,116.07769668102264
2003-12-31,117.00270682573318,115.90316355228424,116.08790755271912,116.45767122507095
2004-01-01,116.62359237670898,115.38412928581238,116.45767122507095,116.38294219970705
2004-01-02,116.80915236473083,115.87412983179092,116.38294219970705,116.38294219970705
2004-01-05,117.42006242275238,116.89182072877884,116.91101849079132,117.35451877117157
2004-01-06,118.47430735826492,117.21620887517929,117.37387090921402,117.66951203346252
2004-01-07,117.84490525722505,116.7811331152916,117.696450650692,116.9287607073784
2004-01-08,118.2804000377655,116.22647106647491,116.9287607073784,118.16857665777206
2004-01-09,119.0200486779213,117.5947168469429,118.16857665777206,118.94505500793457
2004-01-12,119.29788142442705,117.82689839601515,118.84419232606888,117.85390317440032
2004-01-13,118.37272793054579,117.65004962682724,117.88245171308516,118.26981425285341
2004-01-14,118.28947514295578,114.755719602108,118.28947514295578,117.0219486951828
2004-01-15,117.20729917287828,116.26299202442169,117.06786453723907,116.55893087387085
2004-01-16,116.6427019238472,114.36696767807008,116.55012041330338,114.68174040317535
2004-01-19,114.92253392934799,114.1453829407692,114.57946628332138,114.27512496709824
2004-01-20,116.5692189335823,114.23702716827393,114.2468962073326,116.44887179136276
2004-01-21,117.19690084457396,116.23523741960527,116.37416481971741,117.09601610898972
2004-01-22,117.9275295138359,116.96571171283722,117.08712846040726,117.70694822072984
2004-01-23,118.17762970924377,116.27322494983672,117.696450650692,116.39319717884064
2004-01-26,116.65153443813324,115.26479661464693,116.31855636835098,115.513816177845
2004-01-27,117.10491478443146,115.13423860073091,115.49507051706314,116.89182072877884
2004-01-28,116.95684611797331,114.8854285478592,116.86523497104643,115.08839994668959
2004-01-29,115.87412983179092,114.43204820156096,115.0798100233078,114.79274779558182
2004-01-30,115.48641443252563,114.28359359502792,114.79274779558182,115.32946914434432
2004-02-02,115.45902371406557,114.6632593870163,115.4028418660164,115.0054007768631
2004-02-03,116.1899721622467,115.67126870155334,115.97583055496216,115.94819724559784
2004-02-04,116.1899721622467,115.67126870155334,116.05003029108047,115.994730591774
2004-02-05,116.88295513391495,115.84655165672302,115.97583055496216,116.2907686829567
2004-02-06,117.71592408418655,115.80015063285828,116.27322494983672,117.47522979974748
2004-02-09,118.00275474786758,117.05897688865662,117.05897688865662,117.42006242275238
2004-02-10,118.2804000377655,117.23403930664062,117.40961998701096,117.3366442322731
2004-02-11,118.83502900600432,117.08712846040726,117.31730312108994,118.67798447608948
2004-02-12,118.83502900600432,118.36363077163695,118.70540827512741,118.56694400310516
2004-02-13,119.23176437616348,117.70694822072984,118.55782479047777,117.73390889167786
2004-02-16,118.30762535333632,117.67848789691924,117.75189369916916,118.07656854391098
2004-02-17,119.12120908498764,118.05847346782684,118.06751549243928,118.93588066101074
2004-02-18,119.5291256904602,117.15978443622588,118.98330718278885,117.70694822072984
2004-02-19,118.09465259313585,117.10491478443146,117.74289578199387,118.00275474786758
2004-02-20,118.03888976573944,115.65246790647508,118.01179677248,116.0136416554451
2004-02-23,116.49433553218842,115.22745966911316,115.63367813825607,116.2907686829567
2004-02-24,117.57677614688872,115.8929967880249,116.2907686829567,117.27118879556656
2004-02-25,117.51254469156264,115.47632485628128,117.28012055158615,115.5975541472435
2004-02-26,115.79145044088364,114.67179417610168,115.63367813825607,115.14427304267885
2004-02-27,115.6900805234909,114.52413350343704,115.14427304267885,115.570108294487
2004-03-01,116.00491940975188,114.9768191576004,115.9859973192215,115.14427304267885
2004-03-02,115.16290843486786,112.87783443927765,115.16290843486786,112.88747191429138
2004-03-03,113.03508847951888,111.63811773061752,112.86818593740463,112.76637494564056
2004-03-04,113.22879731655121,112.32270926237106,112.79387593269348,112.9150390625
2004-03-05,114.94967103004456,112.66472935676576,112.89574205875395,114.40374225378036
